Customer_ID,Date,Product,Feedback,Rating,Age_Group,Location,Issue_Reported,Satisfaction_Score
CUST0001,1/15/2025,Sedan,Excellent performance and smooth ride,1,36-50,Texas,None,Unsatisfied
CUST0002,8/17/2024,SUV,Engine noise is too loud,5,18-25,California,Transmission,Satisfied
CUST0003,10/29/2024,Sedan,Reliable and easy to maintain,5,36-50,New York,Battery,Satisfied
CUST0004,2/2/2025,Hybrid,Great design and technology features,5,36-50,Ohio,Transmission,Satisfied
CUST0005,1/23/2025,SUV,Battery life could be better,3,26-35,California,Brakes,Unsatisfied
CUST0006,12/12/2024,SUV,Excellent performance and smooth ride,5,26-35,Texas,Battery,Satisfied
CUST0007,1/16/2025,Hybrid,Great design and technology features,4,36-50,Illinois,AC,Satisfied
CUST0008,3/19/2025,Truck,Transmission issues after 2 months,3,18-25,Texas,Battery,Unsatisfied
CUST0009,2/20/2025,Electric Car,Excellent performance and smooth ride,5,18-25,Michigan,Other,Satisfied
CUST0010,1/2/2025,Electric Car,Great design and technology features,1,36-50,Michigan,Transmission,Unsatisfied
CUST0011,5/6/2024,SUV,Reliable and easy to maintain,5,36-50,Texas,AC,Satisfied
CUST0012,5/2/2024,SUV,Brakes are not responsive,2,36-50,Michigan,Engine,Unsatisfied
CUST0013,4/21/2024,Truck,Great design and technology features,5,26-35,Michigan,Engine,Satisfied
CUST0014,3/13/2025,Sedan,Transmission issues after 2 months,4,51+,New York,Transmission,Satisfied
CUST0015,9/7/2024,Truck,Battery life could be better,5,26-35,New York,Battery,Satisfied
CUST0016,11/10/2024,Sedan,Excellent performance and smooth ride,5,26-35,New York,Engine,Satisfied
CUST0017,2/2/2025,Sedan,Excellent performance and smooth ride,2,18-25,Michigan,Brakes,Unsatisfied
CUST0018,6/1/2024,Hybrid,Reliable and easy to maintain,1,18-25,Michigan,Other,Unsatisfied
CUST0019,9/25/2024,SUV,Great design and technology features,2,36-50,Illinois,Brakes,Unsatisfied
CUST0020,5/17/2024,Sedan,Great design and technology features,5,18-25,Illinois,AC,Satisfied
CUST0021,7/13/2024,Truck,Brakes are not responsive,4,51+,Ohio,Battery,Satisfied
CUST0022,1/7/2025,SUV,Brakes are not responsive,5,36-50,Ohio,Electrical,Satisfied
CUST0023,12/9/2024,Truck,Brakes are not responsive,4,51+,California,Other,Satisfied
CUST0024,1/13/2025,Truck,Exceeded my expectations,5,18-25,New York,Electrical,Satisfied
CUST0025,9/29/2024,Sedan,Excellent performance and smooth ride,4,18-25,Michigan,Electrical,Satisfied
CUST0026,8/21/2024,Electric Car,Exceeded my expectations,4,36-50,Texas,AC,Satisfied
CUST0027,2/12/2025,SUV,Exceeded my expectations,4,51+,California,Transmission,Satisfied
CUST0028,5/23/2024,Hybrid,Reliable and easy to maintain,4,18-25,Ohio,Engine,Satisfied
CUST0029,3/18/2025,SUV,AC stopped working after a week,5,51+,Ohio,AC,Satisfied
CUST0030,6/16/2024,Electric Car,Great design and technology features,4,26-35,California,Engine,Satisfied
CUST0031,12/9/2024,Sedan,Excellent performance and smooth ride,5,51+,New York,Transmission,Satisfied
CUST0032,8/6/2024,Truck,Excellent performance and smooth ride,4,51+,Illinois,Electrical,Satisfied
CUST0033,11/14/2024,Hybrid,AC stopped working after a week,5,26-35,Michigan,Transmission,Satisfied
CUST0034,5/26/2024,Truck,AC stopped working after a week,5,18-25,New York,None,Satisfied
CUST0035,11/7/2024,Electric Car,Excellent performance and smooth ride,4,18-25,New York,Other,Satisfied
CUST0036,12/17/2024,Truck,Transmission issues after 2 months,1,36-50,California,Electrical,Unsatisfied
CUST0037,9/7/2024,Hybrid,Great design and technology features,3,51+,Illinois,Electrical,Unsatisfied
CUST0038,5/19/2024,Electric Car,Reliable and easy to maintain,3,36-50,New York,Electrical,Unsatisfied
CUST0039,3/25/2025,Hybrid,Excellent performance and smooth ride,3,18-25,Texas,AC,Unsatisfied
CUST0040,11/29/2024,Electric Car,Very comfortable and fuel efficient,1,36-50,New York,Electrical,Unsatisfied
CUST0041,9/1/2024,SUV,Engine noise is too loud,3,26-35,California,Electrical,Unsatisfied
CUST0042,4/21/2024,Sedan,Engine noise is too loud,4,51+,New York,Transmission,Satisfied
CUST0043,7/6/2024,Electric Car,Reliable and easy to maintain,4,18-25,New York,Brakes,Satisfied
CUST0044,3/31/2025,Hybrid,Reliable and easy to maintain,3,36-50,Texas,None,Unsatisfied
CUST0045,9/9/2024,Sedan,Excellent performance and smooth ride,4,26-35,Ohio,Engine,Satisfied
CUST0046,3/8/2025,Electric Car,Excellent performance and smooth ride,3,51+,California,Transmission,Unsatisfied
CUST0047,4/3/2025,Sedan,Engine noise is too loud,2,18-25,Texas,Battery,Unsatisfied
CUST0048,6/6/2024,Truck,Brakes are not responsive,4,51+,California,Other,Satisfied
CUST0049,2/23/2025,Electric Car,Engine noise is too loud,3,26-35,New York,Electrical,Unsatisfied
CUST0050,9/29/2024,Sedan,Exceeded my expectations,1,18-25,California,Other,Unsatisfied
CUST0051,12/8/2024,Sedan,Reliable and easy to maintain,3,18-25,Texas,Other,Unsatisfied
CUST0052,11/5/2024,Sedan,Transmission issues after 2 months,5,26-35,New York,Electrical,Satisfied
CUST0053,11/4/2024,Sedan,Transmission issues after 2 months,4,26-35,Texas,Battery,Satisfied
CUST0054,12/15/2024,Hybrid,Transmission issues after 2 months,2,18-25,Michigan,Electrical,Unsatisfied
CUST0055,6/11/2024,Electric Car,Engine noise is too loud,4,26-35,New York,None,Satisfied
CUST0056,4/30/2024,Sedan,Excellent performance and smooth ride,4,51+,Texas,AC,Satisfied
CUST0057,12/20/2024,Hybrid,Brakes are not responsive,4,18-25,California,Other,Satisfied
CUST0058,3/8/2025,SUV,Engine noise is too loud,5,51+,Michigan,Other,Satisfied
CUST0059,8/20/2024,Hybrid,Brakes are not responsive,4,51+,Illinois,Engine,Satisfied
CUST0060,8/12/2024,Truck,Battery life could be better,5,18-25,Texas,None,Satisfied
CUST0061,2/13/2025,Truck,Great design and technology features,5,36-50,Ohio,Electrical,Satisfied
CUST0062,10/21/2024,SUV,Reliable and easy to maintain,4,18-25,Ohio,AC,Satisfied
CUST0063,1/21/2025,Truck,Battery life could be better,3,18-25,Texas,None,Unsatisfied
CUST0064,4/28/2024,Electric Car,AC stopped working after a week,3,36-50,Illinois,Transmission,Unsatisfied
CUST0065,12/5/2024,Hybrid,Brakes are not responsive,4,51+,California,Engine,Satisfied
CUST0066,4/4/2025,Hybrid,Excellent performance and smooth ride,5,18-25,Texas,Transmission,Satisfied
CUST0067,7/28/2024,Truck,Excellent performance and smooth ride,4,18-25,New York,Transmission,Satisfied
CUST0068,5/20/2024,Sedan,Engine noise is too loud,3,26-35,California,Electrical,Unsatisfied
CUST0069,4/28/2024,Electric Car,AC stopped working after a week,3,26-35,New York,AC,Unsatisfied
CUST0070,10/29/2024,Sedan,Transmission issues after 2 months,5,26-35,Michigan,Battery,Satisfied
CUST0071,10/11/2024,Electric Car,Exceeded my expectations,5,36-50,Texas,None,Satisfied
CUST0072,1/24/2025,Truck,Battery life could be better,4,51+,Ohio,Electrical,Satisfied
CUST0073,11/8/2024,Truck,Battery life could be better,3,51+,Michigan,Electrical,Unsatisfied
CUST0074,8/25/2024,Sedan,Battery life could be better,5,51+,New York,Transmission,Satisfied
CUST0075,12/21/2024,Hybrid,Very comfortable and fuel efficient,1,36-50,New York,Transmission,Unsatisfied
CUST0076,1/5/2025,Truck,Brakes are not responsive,3,36-50,California,Electrical,Unsatisfied
CUST0077,5/18/2024,Electric Car,Very comfortable and fuel efficient,5,51+,New York,Electrical,Satisfied
CUST0078,3/5/2025,Hybrid,Excellent performance and smooth ride,5,51+,California,Other,Satisfied
CUST0079,10/26/2024,Hybrid,Exceeded my expectations,4,36-50,Ohio,Transmission,Satisfied
CUST0080,4/10/2025,Truck,Engine noise is too loud,5,26-35,Illinois,Transmission,Satisfied
CUST0081,9/4/2024,SUV,Battery life could be better,4,26-35,Michigan,Engine,Satisfied
CUST0082,8/11/2024,SUV,Brakes are not responsive,5,51+,New York,Electrical,Satisfied
CUST0083,8/9/2024,SUV,Transmission issues after 2 months,4,36-50,New York,AC,Satisfied
CUST0084,12/4/2024,Electric Car,Transmission issues after 2 months,3,51+,Ohio,Brakes,Unsatisfied
CUST0085,8/31/2024,Hybrid,Very comfortable and fuel efficient,5,36-50,Illinois,Brakes,Satisfied
CUST0086,12/20/2024,Sedan,Brakes are not responsive,5,51+,Texas,Battery,Satisfied
CUST0087,6/17/2024,Electric Car,Exceeded my expectations,1,36-50,Ohio,AC,Unsatisfied
CUST0088,6/18/2024,Truck,Brakes are not responsive,5,51+,Texas,Brakes,Satisfied
CUST0089,4/5/2025,Sedan,Reliable and easy to maintain,4,18-25,Illinois,Transmission,Satisfied
CUST0090,3/6/2025,Sedan,Exceeded my expectations,2,26-35,Texas,Brakes,Unsatisfied
CUST0091,10/3/2024,SUV,Very comfortable and fuel efficient,1,51+,Michigan,Engine,Unsatisfied
CUST0092,4/29/2024,SUV,Transmission issues after 2 months,5,36-50,Texas,AC,Satisfied
CUST0093,12/26/2024,Sedan,Transmission issues after 2 months,3,18-25,Illinois,Transmission,Unsatisfied
CUST0094,5/2/2024,SUV,Battery life could be better,5,51+,New York,Battery,Satisfied
CUST0095,12/6/2024,Electric Car,AC stopped working after a week,5,51+,Ohio,Electrical,Satisfied
CUST0096,9/6/2024,SUV,Exceeded my expectations,2,26-35,New York,Transmission,Unsatisfied
CUST0097,12/31/2024,Sedan,Brakes are not responsive,3,18-25,Ohio,Transmission,Unsatisfied
CUST0098,6/28/2024,SUV,Exceeded my expectations,4,26-35,New York,Brakes,Satisfied
CUST0099,5/16/2024,SUV,Very comfortable and fuel efficient,5,36-50,Illinois,Engine,Satisfied
CUST0100,6/28/2024,Sedan,Transmission issues after 2 months,3,26-35,Michigan,Engine,Unsatisfied
CUST0101,8/23/2024,Hybrid,AC stopped working after a week,4,18-25,Illinois,Other,Satisfied
CUST0102,3/3/2025,Truck,Transmission issues after 2 months,4,18-25,Michigan,Transmission,Satisfied
CUST0103,8/21/2024,Electric Car,Engine noise is too loud,4,36-50,Illinois,None,Satisfied
CUST0104,6/18/2024,Electric Car,Very comfortable and fuel efficient,4,36-50,Michigan,Transmission,Satisfied
CUST0105,2/26/2025,Truck,Excellent performance and smooth ride,2,26-35,New York,Battery,Unsatisfied
CUST0106,11/1/2024,Truck,Excellent performance and smooth ride,4,26-35,Texas,Electrical,Satisfied
CUST0107,2/18/2025,Sedan,Brakes are not responsive,1,51+,Texas,AC,Unsatisfied
CUST0108,3/11/2025,Electric Car,Engine noise is too loud,4,18-25,Ohio,Engine,Satisfied
CUST0109,12/18/2024,Sedan,Engine noise is too loud,3,26-35,New York,Electrical,Unsatisfied
CUST0110,7/27/2024,Hybrid,Battery life could be better,4,26-35,Illinois,Brakes,Satisfied
CUST0111,8/21/2024,Hybrid,Engine noise is too loud,5,26-35,Texas,AC,Satisfied
CUST0112,5/3/2024,Electric Car,Exceeded my expectations,3,26-35,Michigan,Brakes,Unsatisfied
CUST0113,10/29/2024,Truck,Exceeded my expectations,2,51+,California,Brakes,Unsatisfied
CUST0114,7/16/2024,Hybrid,Exceeded my expectations,4,26-35,Illinois,None,Satisfied
CUST0115,9/9/2024,Sedan,Excellent performance and smooth ride,5,51+,Michigan,None,Satisfied
CUST0116,7/2/2024,SUV,Exceeded my expectations,5,18-25,Texas,Battery,Satisfied
CUST0117,3/24/2025,Electric Car,Brakes are not responsive,5,51+,Texas,Engine,Satisfied
CUST0118,2/13/2025,Hybrid,Very comfortable and fuel efficient,4,18-25,New York,Other,Satisfied
CUST0119,4/15/2025,Truck,Battery life could be better,5,18-25,Michigan,None,Satisfied
CUST0120,10/30/2024,Truck,Brakes are not responsive,4,26-35,Ohio,Other,Satisfied
CUST0121,7/18/2024,Truck,Exceeded my expectations,3,18-25,Ohio,AC,Unsatisfied
CUST0122,12/11/2024,Truck,Reliable and easy to maintain,3,26-35,New York,Electrical,Unsatisfied
CUST0123,10/14/2024,Sedan,Very comfortable and fuel efficient,4,26-35,New York,Engine,Satisfied
CUST0124,10/4/2024,Truck,Excellent performance and smooth ride,3,51+,Ohio,Electrical,Unsatisfied
CUST0125,11/15/2024,Electric Car,Engine noise is too loud,2,36-50,Michigan,Engine,Unsatisfied
CUST0126,7/5/2024,Sedan,Exceeded my expectations,1,51+,Illinois,Electrical,Unsatisfied
CUST0127,2/20/2025,Truck,Brakes are not responsive,4,26-35,California,None,Satisfied
CUST0128,12/5/2024,SUV,Battery life could be better,3,51+,Texas,Electrical,Unsatisfied
CUST0129,12/19/2024,Hybrid,Engine noise is too loud,3,36-50,Illinois,AC,Unsatisfied
CUST0130,1/5/2025,Truck,Excellent performance and smooth ride,3,51+,Illinois,Brakes,Unsatisfied
CUST0131,9/29/2024,Sedan,Very comfortable and fuel efficient,5,36-50,California,Brakes,Satisfied
CUST0132,9/27/2024,SUV,AC stopped working after a week,2,51+,Illinois,Other,Unsatisfied
CUST0133,3/29/2025,Sedan,Very comfortable and fuel efficient,4,26-35,Ohio,None,Satisfied
CUST0134,9/23/2024,Sedan,AC stopped working after a week,4,26-35,Michigan,Engine,Satisfied
CUST0135,2/17/2025,SUV,AC stopped working after a week,4,26-35,New York,Engine,Satisfied
CUST0136,12/11/2024,Hybrid,Exceeded my expectations,4,36-50,Ohio,AC,Satisfied
CUST0137,8/22/2024,Electric Car,Engine noise is too loud,5,18-25,Michigan,None,Satisfied
CUST0138,10/6/2024,SUV,Very comfortable and fuel efficient,4,26-35,California,Engine,Satisfied
CUST0139,12/1/2024,SUV,Brakes are not responsive,2,26-35,Texas,Electrical,Unsatisfied
CUST0140,6/18/2024,Hybrid,Very comfortable and fuel efficient,3,51+,Michigan,Battery,Unsatisfied
CUST0141,5/16/2024,Electric Car,Very comfortable and fuel efficient,3,51+,Texas,None,Unsatisfied
CUST0142,10/18/2024,Hybrid,Exceeded my expectations,5,18-25,California,Electrical,Satisfied
CUST0143,11/21/2024,Truck,Very comfortable and fuel efficient,2,26-35,Ohio,Transmission,Unsatisfied
CUST0144,11/26/2024,Truck,Very comfortable and fuel efficient,1,18-25,Texas,Battery,Unsatisfied
CUST0145,12/10/2024,Truck,Excellent performance and smooth ride,5,18-25,California,Battery,Satisfied
CUST0146,3/7/2025,Hybrid,Excellent performance and smooth ride,3,18-25,Ohio,Brakes,Unsatisfied
CUST0147,2/19/2025,Truck,AC stopped working after a week,5,26-35,California,Electrical,Satisfied
CUST0148,11/3/2024,Sedan,Brakes are not responsive,4,36-50,Michigan,Brakes,Satisfied
CUST0149,9/3/2024,Truck,Exceeded my expectations,5,26-35,Texas,AC,Satisfied
CUST0150,2/11/2025,Electric Car,Brakes are not responsive,5,26-35,California,None,Satisfied
CUST0151,12/14/2024,Truck,Exceeded my expectations,5,18-25,Illinois,Battery,Satisfied
CUST0152,11/28/2024,Truck,Battery life could be better,4,51+,Illinois,Engine,Satisfied
CUST0153,10/30/2024,Hybrid,Very comfortable and fuel efficient,4,26-35,New York,Brakes,Satisfied
CUST0154,3/5/2025,SUV,Reliable and easy to maintain,5,26-35,California,AC,Satisfied
CUST0155,2/26/2025,Hybrid,Reliable and easy to maintain,5,36-50,California,Engine,Satisfied
CUST0156,8/25/2024,Hybrid,Great design and technology features,4,51+,New York,Transmission,Satisfied
CUST0157,7/25/2024,Sedan,Battery life could be better,5,36-50,California,Brakes,Satisfied
CUST0158,6/27/2024,SUV,Brakes are not responsive,2,36-50,Michigan,Battery,Unsatisfied
CUST0159,12/21/2024,SUV,Engine noise is too loud,5,26-35,California,None,Satisfied
CUST0160,5/21/2024,Electric Car,Excellent performance and smooth ride,5,18-25,California,Engine,Satisfied
CUST0161,1/24/2025,SUV,Brakes are not responsive,4,51+,New York,AC,Satisfied
CUST0162,7/16/2024,Electric Car,Engine noise is too loud,2,51+,Ohio,AC,Unsatisfied
CUST0163,1/7/2025,Hybrid,AC stopped working after a week,1,51+,Michigan,AC,Unsatisfied
CUST0164,4/19/2024,Truck,Transmission issues after 2 months,1,36-50,California,Transmission,Unsatisfied
CUST0165,2/18/2025,SUV,Exceeded my expectations,3,51+,Texas,AC,Unsatisfied
CUST0166,11/8/2024,SUV,Reliable and easy to maintain,5,26-35,New York,Other,Satisfied
CUST0167,10/24/2024,Hybrid,Very comfortable and fuel efficient,3,26-35,Michigan,Engine,Unsatisfied
CUST0168,1/19/2025,Hybrid,Very comfortable and fuel efficient,3,26-35,California,Other,Unsatisfied
CUST0169,5/4/2024,SUV,Transmission issues after 2 months,1,26-35,Ohio,Electrical,Unsatisfied
CUST0170,7/4/2024,Sedan,Engine noise is too loud,4,26-35,New York,Brakes,Satisfied
CUST0171,6/6/2024,Sedan,AC stopped working after a week,3,26-35,Illinois,Battery,Unsatisfied
CUST0172,1/28/2025,SUV,Engine noise is too loud,4,51+,New York,Battery,Satisfied
CUST0173,3/16/2025,Hybrid,Very comfortable and fuel efficient,4,18-25,Michigan,Brakes,Satisfied
CUST0174,5/11/2024,Sedan,Exceeded my expectations,4,51+,Texas,Other,Satisfied
CUST0175,8/1/2024,SUV,Engine noise is too loud,3,26-35,Michigan,Engine,Unsatisfied
CUST0176,8/6/2024,Electric Car,Transmission issues after 2 months,5,36-50,Michigan,Transmission,Satisfied
CUST0177,9/8/2024,Sedan,Exceeded my expectations,5,36-50,Texas,AC,Satisfied
CUST0178,2/3/2025,Electric Car,Battery life could be better,4,18-25,Michigan,Brakes,Satisfied
CUST0179,10/11/2024,Truck,Engine noise is too loud,1,36-50,Ohio,Brakes,Unsatisfied
CUST0180,12/19/2024,Electric Car,AC stopped working after a week,4,18-25,Ohio,Battery,Satisfied
CUST0181,3/22/2025,Sedan,AC stopped working after a week,4,18-25,Ohio,Other,Satisfied
CUST0182,8/30/2024,Hybrid,Engine noise is too loud,2,51+,Illinois,Other,Unsatisfied
CUST0183,10/24/2024,Sedan,Engine noise is too loud,5,18-25,Illinois,Transmission,Satisfied
CUST0184,8/6/2024,SUV,AC stopped working after a week,2,18-25,Ohio,Brakes,Unsatisfied
CUST0185,4/17/2024,Truck,Battery life could be better,5,26-35,California,Other,Satisfied
CUST0186,8/12/2024,Truck,Transmission issues after 2 months,4,18-25,New York,None,Satisfied
CUST0187,7/22/2024,Electric Car,Reliable and easy to maintain,5,36-50,Illinois,Transmission,Satisfied
CUST0188,4/19/2024,Hybrid,AC stopped working after a week,3,51+,New York,Transmission,Unsatisfied
CUST0189,2/26/2025,Sedan,AC stopped working after a week,1,36-50,Michigan,Brakes,Unsatisfied
CUST0190,5/13/2024,Hybrid,Great design and technology features,3,51+,Texas,Other,Unsatisfied
CUST0191,7/22/2024,Electric Car,AC stopped working after a week,2,18-25,California,Transmission,Unsatisfied
CUST0192,9/16/2024,Electric Car,Transmission issues after 2 months,5,51+,Michigan,Battery,Satisfied
CUST0193,5/18/2024,Hybrid,Excellent performance and smooth ride,1,26-35,Texas,Electrical,Unsatisfied
CUST0194,12/14/2024,SUV,Transmission issues after 2 months,5,18-25,Illinois,AC,Satisfied
CUST0195,12/14/2024,Electric Car,Transmission issues after 2 months,4,51+,New York,Brakes,Satisfied
CUST0196,12/5/2024,Truck,Very comfortable and fuel efficient,4,36-50,California,AC,Satisfied
CUST0197,1/20/2025,Truck,Battery life could be better,4,36-50,Michigan,Transmission,Satisfied
CUST0198,4/6/2025,Hybrid,Excellent performance and smooth ride,3,51+,New York,AC,Unsatisfied
CUST0199,10/1/2024,SUV,Excellent performance and smooth ride,2,18-25,Texas,AC,Unsatisfied
CUST0200,12/5/2024,Hybrid,Engine noise is too loud,4,18-25,California,Transmission,Satisfied
CUST0201,11/2/2024,Sedan,Great design and technology features,3,26-35,Illinois,Brakes,Unsatisfied
CUST0202,11/4/2024,SUV,Very comfortable and fuel efficient,3,51+,Ohio,None,Unsatisfied
CUST0203,4/12/2025,SUV,Very comfortable and fuel efficient,3,26-35,New York,Other,Unsatisfied
CUST0204,7/19/2024,Hybrid,AC stopped working after a week,3,36-50,New York,AC,Unsatisfied
CUST0205,6/19/2024,Sedan,Reliable and easy to maintain,4,18-25,California,Other,Satisfied
CUST0206,9/15/2024,Electric Car,Very comfortable and fuel efficient,3,26-35,Illinois,Transmission,Unsatisfied
CUST0207,2/27/2025,SUV,Very comfortable and fuel efficient,2,18-25,New York,Engine,Unsatisfied
CUST0208,10/8/2024,Truck,Exceeded my expectations,3,51+,Texas,Transmission,Unsatisfied
CUST0209,8/9/2024,Electric Car,Transmission issues after 2 months,5,18-25,Ohio,Brakes,Satisfied
CUST0210,8/30/2024,Electric Car,Exceeded my expectations,3,51+,Texas,Other,Unsatisfied
CUST0211,12/18/2024,Sedan,Exceeded my expectations,1,26-35,Michigan,Brakes,Unsatisfied
CUST0212,5/15/2024,Sedan,Exceeded my expectations,4,51+,New York,Transmission,Satisfied
CUST0213,12/9/2024,Truck,AC stopped working after a week,3,26-35,Illinois,AC,Unsatisfied
CUST0214,7/30/2024,Sedan,Transmission issues after 2 months,4,36-50,Ohio,Brakes,Satisfied
CUST0215,5/6/2024,Electric Car,Reliable and easy to maintain,5,36-50,Illinois,Other,Satisfied
CUST0216,2/19/2025,Sedan,Exceeded my expectations,4,51+,New York,Other,Satisfied
CUST0217,5/9/2024,Electric Car,Excellent performance and smooth ride,5,51+,California,Brakes,Satisfied
CUST0218,1/30/2025,SUV,Very comfortable and fuel efficient,4,51+,California,Engine,Satisfied
CUST0219,9/10/2024,Truck,Brakes are not responsive,4,26-35,Michigan,Brakes,Satisfied
CUST0220,1/12/2025,Electric Car,Transmission issues after 2 months,4,18-25,Ohio,Electrical,Satisfied
CUST0221,9/14/2024,Hybrid,Reliable and easy to maintain,4,18-25,Texas,Brakes,Satisfied
CUST0222,10/29/2024,Electric Car,Battery life could be better,5,36-50,Michigan,Transmission,Satisfied
CUST0223,10/9/2024,Hybrid,Very comfortable and fuel efficient,5,36-50,Texas,Brakes,Satisfied
CUST0224,7/29/2024,Hybrid,Very comfortable and fuel efficient,4,36-50,Ohio,Other,Satisfied
CUST0225,3/27/2025,Hybrid,Great design and technology features,3,18-25,Ohio,Battery,Unsatisfied
CUST0226,12/24/2024,SUV,Great design and technology features,5,51+,California,Engine,Satisfied
CUST0227,7/22/2024,Hybrid,Engine noise is too loud,4,51+,Illinois,Engine,Satisfied
CUST0228,3/20/2025,Sedan,Excellent performance and smooth ride,5,26-35,California,Engine,Satisfied
CUST0229,12/18/2024,Electric Car,Excellent performance and smooth ride,1,36-50,Michigan,Battery,Unsatisfied
CUST0230,1/16/2025,Sedan,Reliable and easy to maintain,2,51+,Michigan,AC,Unsatisfied
CUST0231,3/22/2025,Truck,AC stopped working after a week,4,26-35,Texas,AC,Satisfied
CUST0232,4/12/2025,Hybrid,Very comfortable and fuel efficient,4,51+,California,Brakes,Satisfied
CUST0233,7/31/2024,Hybrid,Brakes are not responsive,5,18-25,Michigan,Electrical,Satisfied
CUST0234,2/17/2025,Electric Car,Exceeded my expectations,4,26-35,Ohio,Other,Satisfied
CUST0235,1/18/2025,SUV,Great design and technology features,5,26-35,Ohio,None,Satisfied
CUST0236,12/3/2024,Truck,Transmission issues after 2 months,3,36-50,New York,Other,Unsatisfied
CUST0237,1/17/2025,Hybrid,Excellent performance and smooth ride,3,51+,Texas,AC,Unsatisfied
CUST0238,1/29/2025,Truck,Very comfortable and fuel efficient,5,51+,Illinois,AC,Satisfied
CUST0239,8/16/2024,Sedan,Great design and technology features,4,18-25,New York,None,Satisfied
CUST0240,3/5/2025,Electric Car,Excellent performance and smooth ride,3,26-35,Michigan,Transmission,Unsatisfied
CUST0241,11/9/2024,Sedan,Transmission issues after 2 months,4,36-50,Illinois,None,Satisfied
CUST0242,8/7/2024,Hybrid,Engine noise is too loud,5,18-25,California,AC,Satisfied
CUST0243,2/2/2025,Electric Car,Brakes are not responsive,3,26-35,New York,Electrical,Unsatisfied
CUST0244,2/4/2025,Truck,Engine noise is too loud,4,51+,Texas,Electrical,Satisfied
CUST0245,7/16/2024,Truck,Exceeded my expectations,5,36-50,New York,Transmission,Satisfied
CUST0246,12/14/2024,Truck,AC stopped working after a week,5,18-25,New York,Electrical,Satisfied
CUST0247,8/22/2024,Electric Car,Great design and technology features,3,26-35,Texas,Battery,Unsatisfied
CUST0248,10/8/2024,Hybrid,Excellent performance and smooth ride,4,18-25,California,None,Satisfied
CUST0249,11/23/2024,Sedan,AC stopped working after a week,4,36-50,Texas,Electrical,Satisfied
